74,0,55,73
27,0,73,52
90,1,50,58
89,1,51,59
86,1,51,62
79,1,51,69
87,1,52,61
80,1,52,68
81,1,53,67
76,1,53,72
75,1,54,73
73,1,56,72
68,1,57,76
67,1,58,76
64,1,61,77
63,1,62,76
57,1,68,76
30,1,71,55
26,1,72,51
29,1,72,54
36,1,72,61
28,1,73,53
32,1,73,57
35,1,73,60
33,1,74,58
91,2,51,57
78,2,51,70
88,2,52,60
85,2,52,63
82,2,52,66
77,2,52,71
84,2,53,64
7,2,56,49
69,2,56,76
8,2,57,49
72,2,57,73
71,2,57,74
66,2,59,77
65,2,60,77
12,2,61,47
13,2,62,48
14,2,63,49
62,2,63,75
60,2,65,75
59,2,66,76
58,2,67,77
56,2,69,76
21,2,70,47
23,2,71,49
37,2,71,62
54,2,71,76
25,2,72,51
31,2,72,56
39,2,72,64
43,2,72,68
48,2,72,73
34,2,73,59
92,3,50,56
83,3,52,65
6,3,55,49
70,3,56,75
9,3,58,48
11,3,60,48
15,3,64,49
61,3,64,76
16,3,65,48
18,3,67,48
19,3,68,47
20,3,69,46
55,3,70,77
22,3,71,48
24,3,71,50
40,3,71,65
41,3,71,66
53,3,71,75
38,3,72,63
42,3,72,67
47,3,72,72
44,3,73,69
45,3,73,70
49,3,73,74
50,3,74,75
96,4,49,52
95,4,49,53
1,4,50,51
94,4,50,54
2,4,51,52
93,4,51,55
4,4,53,51
5,4,54,50
10,4,59,48
17,4,66,47
52,4,72,76
46,4,73,71
51,4,73,76
3,5,52,51
